instancia,variante,status,rc,tiempo_solver_s,gap_pct,objetivo_solver,objetivo_post,status_solver,best_bound,nodos_explorados,iter_simplex,presolve_time_s,rows_cargadas,cols_cargadas,nz_cargados,rows_presolved,cols_presolved,nz_presolved,reduccion_rows_pct,reduccion_cols_pct,reduccion_nz_pct,solver_warnings,solver_warnings_txt,matrix_min,matrix_max,objective_min,objective_max,rhs_min,rhs_max,bounds_min,bounds_max,matrix_range_ratio_vs_base,objective_range_ratio_vs_base,rhs_range_ratio_vs_base,bounds_range_ratio_vs_base,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preprocesamiento_s,tiempo_total_s,speedup_vs_base,speedup_solver_vs_base,speedup_total_vs_base,overhead_preprocesamiento_vs_base,ratio_preproc_solver,gap_delta_vs_base,obj_solver_delta_vs_base,obj_solver_rel_delta_vs_base,obj_post_delta_vs_base,obj_post_rel_delta_vs_base,matrix_kappa_ratio_vs_base,kappa_proxy_ratio,kappa_solver,kappa_solver_exact,kappa_solver_ratio_vs_base,work_units,dettime_ticks,root_gap,root_time,tiempo_determinista,speedup_det_vs_base,primal_integral,kappa_arbol_max,kappa_attention,kappa_stable_frac,kappa_suspicious_frac,kappa_unstable_frac,kappa_illposed_frac,kappa_arbol_max_ratio_vs_base,mip_equivalente,post_factible,solver_max_viol,solver_int_viol,solver_obj_diff,post_max_viol,post_int_viol,verif_solver_avg_viol,verif_solver_p95_viol,verif_solver_p99_viol,verif_solver_max_viol_rel,verif_post_avg_viol,verif_post_p95_viol,verif_post_p99_viol,verif_post_max_viol_rel,verif_solver_max_le,verif_solver_max_ge,verif_solver_max_eq,verif_solver_max_lb,verif_solver_max_ub,verif_solver_max_int,verif_solver_viol_le_count,verif_solver_viol_ge_count,verif_solver_viol_eq_count,verif_solver_viol_lb_count,verif_solver_viol_ub_count,verif_solver_viol_int_count,verif_solver_missing,verif_solver_obj_original,verif_post_max_le,verif_post_max_ge,verif_post_max_eq,verif_post_max_lb,verif_post_max_ub,verif_post_max_int,verif_post_viol_le_count,verif_post_viol_ge_count,verif_post_viol_eq_count,verif_post_viol_lb_count,verif_post_viol_ub_count,verif_post_viol_int_count,verif_post_missing,verif_post_obj_original,obj_original_variante,abs_obj_diff_vs_base,rel_obj_diff_vs_base,sentido_obj_vs_base,best_bound_delta_vs_base,equivalente_vs_base,max_diff_post_csv,diffs_post_csv,csv,csv_post,log
instance001.txt,base,OK,0,80.031414203,0.088893338885678,-989879.4735171876,-989879.0,OPTIMAL,-990759.410432141,41294.0,781650.0,0.12,10080.0,6120.0,22679.0,8680.0,5624.0,20649.0,13.88888888888889,8.104575163398692,8.951011949380485,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0007,10000000000.0,0.0009,100.0,40.0,10000000000.0,1.0,4000000000.0,,,,,,,,,0.0,80.031414203,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,2768.525049,,,72.126968,,1.323674,3.070202,72.126968,1.0,0.718615682983451,,,,,,,,BASE,BASE,,,,,,3.50853922099188e-09,5.6843418860808e-14,1.30385160446167e-07,1.70530256582424e-13,0.237494972154106,0.0324106940190177,8.40917808739211,7.67160232321586,1.13686837721616e-12,0.0,2.36555933952332e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-989879.473517188,33.5620766271326,0.0,1.7629936337471e-05,0.0,0.0,0.0,518.0,0.0,189.0,0.0,0.0,0.0,0.0,-989879.473517188,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance001_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance001_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance001_base.log
instance002.txt,base,OK,0,59.865145391,1.9e-14,2400390.553060878,2400390.0,OPTIMAL,2400390.5530608776,17513.0,956781.0,0.13,10080.0,6120.0,22679.0,8733.0,5611.0,20711.0,13.363095238095237,8.316993464052288,8.677631288857533,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0006,10000000000.0,0.001,100.0,40.0,10000000000.0,1.0,4000000000.0,,,,,,,,,0.0,59.865145391,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,33901.365231,,,57.265561,,0.961508,3.432558,57.265561,1.0,0.92037318951296,,,,,,,,BASE,BASE,,,,,,6.6135233629915e-10,2.8421709430404e-14,2.1420419216156e-08,1.4210854715202e-13,0.100326631217619,9.9475983006414e-14,2.52090016862604,4.06410192996506,2.8421709430404e-13,0.0,2.17929482460022e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400390.55306087,20.4930703286607,0.0,1.07772648334503e-05,0.0,0.0,0.0,195.0,0.0,61.0,0.0,0.0,0.0,0.0,2400390.55306087,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance002_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance002_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance002_base.log
instance003.txt,base,OK,0,59.319855522,0.0,271315.7487579452,271316.0,OPTIMAL,271315.7487579452,21210.0,1044176.0,0.07,10080.0,6120.0,22679.0,8871.0,5688.0,21563.0,11.994047619047619,7.0588235294117645,4.920851889413114,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0003,10000000000.0,0.001,100.0,40.0,10000000000.0,1.0,4000000000.0,,,,,,,,,0.0,59.319855522,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,65294.280124,,,56.364755,,0.987988,2.876031,56.364755,1.0,0.809512648182993,,,,,,,,BASE,BASE,,,,,,5.49008348262598e-10,9.2370555648813e-14,2.23517417907715e-08,3.26849658449646e-13,0.052950974460662,4.54747350886464e-13,0.431515233328345,1.86692884743013,9.09494701772928e-13,0.0,5.96046447753906e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271315.748757946,21.7188550680077,0.0,1.13155692815781e-05,0.0,0.0,0.0,139.0,0.0,47.0,0.0,0.0,0.0,0.0,271315.748757946,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance003_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance003_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance003_base.log
instance004.txt,base,OK,0,0.491305268,0.044917194018301,-6879384.121135767,-6879380.0,OPTIMAL,-6882474.147448721,1.0,7857.0,0.09,10080.0,6120.0,22679.0,8842.0,5699.0,21126.0,12.281746031746032,6.879084967320262,6.847744609550686,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0006,10000000000.0,0.002,100.0,40.0,8000000000.0,1.0,4000000000.0,,,,,,,,,0.0,0.491305268,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,2670.397014,,,0.567681,,,,0.567681,1.0,0.754820444064112,,,,,,,,BASE,BASE,,,,,,4.18726171870146e-09,1.56319401867222e-13,1.63912773132324e-07,5.40012479177676e-13,2.91149461513991,21.7742621403264,58.5568979509307,20.860266263655,1.13686837721616e-13,0.0,2.34693288803101e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6879384.12113577,90.3371690562119,0.0,5.79468905925751e-05,0.0,0.0,0.0,2503.0,0.0,320.0,0.0,0.0,0.0,0.0,-6879384.12113577,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance004_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance004_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance004_base.log
instance005.txt,base,OK,0,0.496968112,0.041093027681291,-2540011.2100340445,-2540010.0,OPTIMAL,-2541054.9775436916,1.0,6660.0,0.08,10080.0,6120.0,22679.0,8809.0,5676.0,21072.0,12.609126984126984,7.254901960784314,7.085850346135191,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0005,10000000000.0,0.003,100.0,10.0,10000000000.0,1.0,4000000000.0,,,,,,,,,0.0,0.496968112,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,2609.856634,,,0.336269,,1.273531,0.364762,0.336269,1.0,0.75401369251954,,,,,,,,BASE,BASE,,,,,,2.75045272909737e-09,3.37507799486048e-14,1.2572854757309e-07,2.23820961764432e-13,1.043511301088,6.25108202719991,30.2084020885617,10.7399770499898,5.6843418860808e-14,0.0,2.36555933952332e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2540011.21003404,45.128976401545,0.0,2.32560560107231e-05,0.0,0.0,0.0,2361.0,0.0,187.0,0.0,0.0,0.0,0.0,-2540011.21003404,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance005_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance005_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance005_base.log
instance009.txt,base,OK,0,0.478483402,0.009546268504994,-26183467.30749815,-26183500.0,OPTIMAL,-26185966.85159124,1.0,7705.0,0.1,10080.0,6120.0,22679.0,8630.0,5585.0,20624.0,14.384920634920634,8.741830065359476,9.061246086688126,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0007,10000000000.0,0.007,100.0,10.0,9000000000.0,1.0,4000000000.0,,,,,,,,,0.0,0.478483402,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,4502.699105,,,0.533362,,,,0.533362,1.0,0.740478963132334,,,,,,,,BASE,BASE,,,,,,3.08630127642205e-09,1.77635683940025e-14,1.45286321640015e-07,2.18491891246231e-13,1.27547982772426,6.5016491402395,34.7001671085624,11.1108595368576,5.6843418860808e-14,0.0,2.38418579101562e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26183467.3074983,46.2292047261759,0.0,2.337247133255e-05,0.0,0.0,0.0,2278.0,0.0,231.0,0.0,0.0,0.0,0.0,-26183467.3074983,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance009_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance009_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance009_base.log
instance010.txt,base,OK,0,34.873584367,0.0,71613.86077580089,71613.9,OPTIMAL,71613.86077580089,28356.0,720044.0,0.1,10080.0,6120.0,22679.0,8681.0,5569.0,20833.0,13.878968253968255,9.00326797385621,8.139688698796244,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0006,10000000000.0,1.0,100.0,10.0,10000000000.0,1.0,4000000000.0,,,,,,,,,0.0,34.873584367,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,9687.288877,,,29.164408,,0.996241,1.829014,29.164408,1.0,0.941786817738557,,,,,,,,BASE,BASE,,,,,,1.66548072959668e-09,1.4210854715202e-14,6.70552253723145e-08,2.38742359215394e-12,0.317840844438019,3.54927033185947e-06,9.54325438881739,85.1120490869634,5.6843418860808e-13,0.0,3.16649675369263e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71613.8607758009,85.1120490869634,0.0,0.0001671202480793,0.0,0.0,0.0,404.0,0.0,137.0,0.0,0.0,0.0,0.0,71613.8607758009,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance010_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance010_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance010_base.log
instance011.txt,base,OK,0,49.640413805,0.0,-232688.66750460156,-232689.0,OPTIMAL,-232688.66750460156,33633.0,657334.0,0.12,10080.0,6120.0,22679.0,8688.0,5590.0,20948.0,13.80952380952381,8.660130718954248,7.632611667181092,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0006,10000000000.0,0.0005,100.0,20.0,10000000000.0,1.0,4000000000.0,,,,,,,,,0.0,49.640413805,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,2719.935265,,,47.830515,,1.074096,2.567312,47.830515,1.0,0.989636378277493,,,,,,,,BASE,BASE,,,,,,2.37450601393653e-09,8.5265128291212e-14,8.5681676864624e-08,2.8421709430404e-13,0.220956713374421,0.0065257510389105,7.78710224026892,9.50903958146057,1.13686837721616e-12,0.0,2.36555933952332e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-232688.667504602,39.2773886428973,0.0,2.56188213825226e-05,0.0,0.0,0.0,542.0,0.0,94.0,0.0,0.0,0.0,0.0,-232688.667504602,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance011_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance011_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance011_base.log
instance012.txt,base,OK,0,33.861175044,0.0,121231.38818528672,121231.0,OPTIMAL,121231.38818528672,13385.0,379332.0,0.12,10080.0,6120.0,22679.0,8855.0,5631.0,21045.0,12.152777777777779,7.990196078431373,7.204903214427444,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0007,9000000000.0,1.0,100.0,20.0,6000000000.0,1.0,4000000000.0,,,,,,,,,0.0,33.861175044,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,22146.296497,,,31.036943,,0.994423,2.427172,31.036943,1.0,0.980148710483363,,,,,,,,BASE,BASE,,,,,,2.13834920960641e-09,2.8421709430404e-14,8.5681676864624e-08,2.50111042987555e-12,0.947275948469541,8.5681676864624e-08,31.846288471651,105.708212059501,1.70530256582424e-12,0.0,5.92321157455444e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121231.388185287,164.818084892674,0.0,0.000167123973369598,0.0,0.0,0.0,297.0,0.0,150.0,0.0,0.0,0.0,0.0,121231.388185287,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance012_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance012_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance012_base.log
instance014.txt,base,OK,0,0.255680964,9.8e-14,237180.1722912474,237180.0,OPTIMAL,237180.17229124717,1.0,3357.0,0.11,10080.0,6120.0,22679.0,8796.0,5659.0,21593.0,12.738095238095237,7.532679738562091,4.788570924643944,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0005,4000000000.0,1.0,100.0,30.0,3000000000.0,1.0,4000000000.0,,,,,,,,,0.0,0.255680964,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,9395.461986,,,0.201043,,,,0.201043,1.0,0.379996183789117,,,,,,,,BASE,BASE,,,,,,9.6218332816247e-10,0.0,3.20561230182631e-08,1.70530256582424e-13,0.11136389884459,0.0,6.03836029767967e-06,12.4382229540006,4.76837158203125e-07,0.0,2.38418579101562e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237180.172291247,63.2487459018006,0.0,4.15444374084473e-05,0.0,0.0,0.0,78.0,0.0,28.0,0.0,0.0,0.0,0.0,237180.172291247,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance014_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance014_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance014_base.log
instance019.txt,base,OK,0,0.185758453,0.0,0.0,0.0,OPTIMAL,0.0,1.0,2478.0,0.11,10080.0,6120.0,22679.0,8634.0,5617.0,20716.0,14.345238095238095,8.218954248366012,8.655584461396005,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0007,10000000000.0,1.0,100.0,10.0,7000000000.0,1.0,4000000000.0,,,,,,,,,0.0,0.185758453,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,859.231263,,,0.120235,,,,0.120235,1.0,0.137277069634581,,,,,,,,BASE,BASE,,,,,,8.68702429214871e-12,0.0,5.6843418860808e-14,2.8421709430404e-13,0.117204640741494,0.0,1.13686837721616e-13,103.124740761068,6.82121026329696e-13,0.0,1.11758708953857e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.124740761068,0.0,0.000167116522789001,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance019_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance019_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance019_base.log
instance020.txt,base,OK,0,0.16293021,0.0,0.0,0.0,OPTIMAL,-2.9104e-11,1.0,2475.0,0.09,10080.0,6120.0,22679.0,8669.0,5663.0,20674.0,13.998015873015873,7.467320261437909,8.840777812072842,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0006,8000000000.0,1.0,100.0,30.0,6000000000.0,1.0,4000000000.0,,,,,,,,,0.0,0.16293021,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,1354.728729,,,0.104815,,,,0.104815,1.0,0.117142519426841,,,,,,,,BASE,BASE,,,,,,3.71056624579697e-13,0.0,5.6843418860808e-14,1.70530256582424e-13,0.0158939720880853,0.0,5.6843418860808e-14,80.1054522055571,3.41060513164848e-13,0.0,3.72529029846191e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.1054522055571,0.0,0.000167116522789001,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance020_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance020_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance020_base.log
instance021.txt,base,OK,0,0.197924588,0.0,-253071.0,-253071.0,OPTIMAL,-253071.0,1.0,3352.0,0.11,10080.0,6120.0,22679.0,8553.0,5597.0,20534.0,15.148809523809524,8.545751633986928,9.458088980995635,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0007,10000000000.0,6e-05,100.0,20.0,8000000000.0,1.0,4000000000.0,,,,,,,,,0.0,0.197924588,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,2813.6397,,,0.15965,,,,0.15965,1.0,0.289472636199511,,,,,,,,BASE,BASE,,,,,,3.40062263987525e-09,5.3468340865945e-14,1.36364251375197e-07,2.0961010704923e-13,1.40075068914999,7.62940256813556,42.7017828542679,28.8313932499738,1.70530256582424e-13,0.0,2.38418579101562e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253071.0,68.7962781525987,0.0,3.60626727342606e-05,0.0,0.0,0.0,851.0,0.0,177.0,0.0,0.0,0.0,0.0,-253071.0,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance021_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance021_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance021_base.log
instance022.txt,base,OK,0,0.403682753,0.069252080268143,-292978.33124684,-292978.0,OPTIMAL,-293181.22483596334,1.0,5818.0,0.12,10080.0,6120.0,22679.0,8395.0,5501.0,20245.0,16.716269841269842,10.11437908496732,10.73239560827197,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0006,10000000000.0,0.0001,100.0,10.0,10000000000.0,1.0,4000000000.0,,,,,,,,,0.0,0.403682753,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,2654.283183,,,0.296035,,,,0.296035,1.0,0.5247673716236,,,,,,,,BASE,BASE,,,,,,4.04238612719152e-09,5.6843418860808e-14,1.58324837684631e-07,3.12638803734444e-13,0.66527184799093,2.14531916499819,21.839964531473,7.70551127154877,6.25277607468888e-13,0.0,2.34693288803101e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-292978.33124684,41.414336064424,0.0,2.20257788896561e-05,0.0,0.0,0.0,2049.0,0.0,204.0,0.0,0.0,0.0,0.0,-292978.33124684,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance022_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance022_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance022_base.log
instance023.txt,base,OK,0,51.672345237,0.0,-211887.37925461048,-211887.0,OPTIMAL,-211887.37925461048,21651.0,306535.0,0.12,10080.0,6120.0,22679.0,8465.0,5526.0,20458.0,16.021825396825395,9.705882352941176,9.793200758410865,4,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs | max constraint violation (1.0915e-06) exceeds tolerance,0.0006,10000000000.0,0.0002,100.0,10.0,10000000000.0,1.0,4000000000.0,,,,,,,,,0.0,51.672345237,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,2746.690612,,,42.824942,,1.085632,2.165469,42.824942,1.0,0.880752830577067,,,,,,,,BASE,BASE,,,,,,4.41648518315052e-09,5.6843418860808e-14,1.564621925354e-07,3.06879709449402e-13,0.256639941237331,0.224582117286451,9.53090798144915,5.6431943166827,3.41060513164848e-13,0.0,1.09151005744934e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-211887.37925461,27.8387323829008,0.0,1.47111713886261e-05,0.0,0.0,0.0,826.0,0.0,167.0,0.0,0.0,0.0,0.0,-211887.37925461,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance023_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance023_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance023_base.log
instance024.txt,base,OK,0,47.088065173,0.063507910794226,1462161.9770836183,1462160.0,OPTIMAL,1461233.388559545,15684.0,529349.0,0.16,10080.0,6120.0,22679.0,8328.0,5452.0,19969.0,17.38095238095238,10.915032679738562,11.949380484148332,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0006,10000000000.0,0.0003,100.0,20.0,10000000000.0,1.0,4000000000.0,,,,,,,,,0.0,47.088065173,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,69285.943579,,,45.527263,,0.916012,2.44964,45.527263,1.0,0.880338563975565,,,,,,,,BASE,BASE,,,,,,7.89640173850155e-10,2.8421709430404e-14,3.11993062496185e-08,1.98951966012828e-13,0.0616808273567266,5.6843418860808e-14,0.853113057079958,3.28469968227016,3.41060513164848e-13,0.0,1.19209289550781e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1462161.97708362,17.6886919581995,0.0,9.15536656975746e-06,0.0,0.0,0.0,167.0,0.0,43.0,0.0,0.0,0.0,0.0,1462161.97708362,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance024_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/resultados/instance024_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-gurobi-01pct/base-scaleflag2/logs/instance024_base.log
